TIME_STAMP	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier CQI CW0	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier Rank Index	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier WideBand CQI CW0	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier Rank Index
2021-02-08 19:28:09.176789	890	6		Rank1				
2021-02-08 19:28:09.176849					891	3	15	Rank1
2021-02-08 19:28:09.308900	894	6	15					
2021-02-08 19:28:09.309123	898	6		Rank1				
2021-02-08 19:28:09.312429	902	6	15					
2021-02-08 19:28:09.733358	906	6		Rank1				
2021-02-08 19:28:10.060051	910	6	15					
2021-02-08 19:28:10.060119	922	6		Rank1				
2021-02-08 19:28:10.201090	954	6		Rank1				
2021-02-08 19:28:10.201183	986	6		Rank1				
2021-02-08 19:28:10.201258					988	4	15	Rank1
2021-02-08 19:28:10.201340	990	6	15					
2021-02-08 19:28:10.204565	994	6		Rank1				
2021-02-08 19:28:10.696667	998	6	15					
2021-02-08 19:28:10.700097	1002	6		Rank1				
2021-02-08 19:28:11.018865	1006	6	15					
2021-02-08 19:28:11.019038	1018	6		Rank1				
2021-02-08 19:28:11.295261	26	6		Rank1				
2021-02-08 19:28:11.424276	58	6		Rank1				
2021-02-08 19:28:11.427661					90	4	15	Rank1
2021-02-08 19:28:11.427722	90	6		Rank1				
2021-02-08 19:28:11.427926	94	6	15					
2021-02-08 19:28:11.670492	98	6		Rank1				
2021-02-08 19:28:11.670753	102	6	15					
2021-02-08 19:28:11.976238	106	6		Rank1				
2021-02-08 19:28:12.362065	122	6		Rank1				
2021-02-08 19:28:12.362285	154	6		Rank1				
2021-02-08 19:28:12.365244	186	6		Rank1				
